"BehaviorSpace results (NetLogo 6.2.2)"
"escenarios.nlogo"
"experiment_1"
"06/24/2022 17:21:39:166 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","pasosmax","angulomax","[step]","restoverde","restoalimento","tiempo"
"7","1","90","30","28","75","30"
"6","1","90","30","45","106","30"
"1","1","90","30","37","109","30"
"5","1","90","30","46","112","30"
"2","1","90","30","34","107","30"
"3","1","90","30","38","77","30"
"4","1","90","28","50","134","28"
"8","1","90","28","38","114","28"
"13","1","90","28","40","102","28"
"14","1","90","34","51","121","34"
"12","1","90","44","51","142","44"
"15","1","90","28","36","101","28"
"16","1","90","32","31","72","32"
"11","1","90","28","49","125","28"
"10","1","90","30","32","92","30"
"9","1","90","30","36","111","30"
"17","1","90","32","35","76","32"
"18","1","90","30","37","92","30"
"20","1","90","30","36","81","30"
"21","1","90","30","42","97","30"
"22","1","90","26","32","77","26"
"19","1","90","32","45","113","32"
"23","1","90","30","33","84","30"
"24","1","90","32","36","86","32"
"25","1","90","26","32","98","26"
"26","1","90","28","41","113","28"
"30","1","90","32","43","107","32"
"29","1","90","28","38","110","28"
"27","1","90","34","32","85","34"
"28","1","90","30","43","123","30"
"32","1","90","30","42","99","30"
"35","1","90","34","32","60","34"
"34","1","90","30","41","110","30"
"31","1","90","30","39","90","30"
"33","1","90","30","41","101","30"
"40","1","90","28","36","83","28"
"37","1","90","28","34","74","28"
"39","1","90","28","37","102","28"
"41","1","90","28","23","53","28"
"42","1","90","28","46","122","28"
"38","1","90","38","43","101","38"
"36","1","90","30","30","80","30"
"45","1","90","28","44","104","28"
"43","1","90","30","44","134","30"
"46","1","90","36","40","103","36"
"48","1","90","28","38","114","28"
"49","1","90","30","42","115","30"
"44","1","90","30","40","97","30"
"47","1","90","28","50","123","28"
"52","1","90","32","40","116","32"
"50","1","90","28","38","90","28"
"51","1","90","34","39","96","34"
"56","1","90","40","34","80","40"
"55","1","90","26","42","111","26"
"57","1","90","28","42","103","28"
"58","1","90","28","48","115","28"
"61","1","90","30","46","122","30"
"53","1","90","30","36","87","30"
"54","1","90","38","32","97","38"
"60","1","90","32","47","113","32"
"63","1","90","28","34","75","28"
"62","1","90","30","34","104","30"
"59","1","90","28","42","115","28"
"67","1","90","32","42","115","32"
"66","1","90","30","49","121","30"
"64","1","90","30","43","93","30"
"68","1","90","28","31","83","28"
"69","1","90","28","47","123","28"
"65","1","90","32","39","105","32"
"70","1","90","30","32","76","30"
"71","1","90","30","35","86","30"
"72","1","90","28","32","59","28"
"73","1","90","30","38","81","30"
"75","1","90","26","39","112","26"
"76","1","90","28","41","121","28"
